KXKYLE100MRUN	Kyle Foregeard 100 Mile Run	Sports
KXWO-STRACK	Winter Olympics Short Track Speed Skating	Sports
KXROMENSDOUBLES	Rio Open men Doubles	Sports
KXLEADERMLBRUNS	MLB Runs Leader	Sports
KXWBCMVP	WBC MVP	Sports
KXBOXING1MIN	Boxing 1 Minute Fight	Sports
KXZYWOOMVP	Will ZywOo be the MVP at the Budapest Major	Sports
KXWBCLIGHTWEIGHTTITLE	Boxing Lightweight Title	Sports
KXATPDOUBLES	ATP Doubles Tennis Match	Sports
KXNFLWINS-CIN	Pro football wins Cincinnati	Sports
KXNCAAFCOTY	College Football Coach of the Year	Sports
KXEKSTRAKLASA	Ekstraklasa Champion	Sports
KXBRASILEIROTOTAL	Brasileiro Total	Sports
KXLALIGATOTAL	La Liga Total	Sports
KXFOMEN	French Open Men's	Sports
KXNFLEXACTWINSNYG	Pro football exact wins New York G	Sports
KXEGYPL	Egyptian Premier League 	Sports
KXNCAAMBIVY	Ivy League Conference Tournament	Sports
KXFACUPADVANCE	FA Cup Advance	Sports
KXNCAABACC	ACC Men's Basketball Tournament	Sports
KXTABLETENNIS	Table Tennis Match	Sports
KXWBCHIT	World Baseball Classic Hits	Sports
KXNFLFIRSTPICK	First Pick in NFL Draft	Sports
KXNFLEXACTWINSSF	Pro football exact wins San Francisco	Sports
KXNBADRAFTTOP25	NBA Draft Top 25 Pick	Sports
KXWOLUGE	Winter Olympics Luge	Sports
KXLOLMAP	League of Legends Map Winner	Sports
KXFINALISSIMAGAME	Finalissima	Sports
KXALPHAARENAMONK	AlphaArena Monk	Sports
KXNCAAMBMW	Mountain West Conference Tournament	Sports
KXNBATOPPICK	Pro Basketball Draft Lottery Winner	Sports
KXNBA3QTOTAL	NBA 3rd Quarter Total	Sports
KXLALIGA1H	La Liga First Half Winner	Sports
KXMLBWINS-CWS	Pro baseball wins Chicago W	Sports
KXNFLPREPACK3ML	MVE NFL Pre Pack	Sports
KXNCAAFIVY	Ivy League Champion	Sports
KXDENSUPERLIGA	Danish Superliga Champion	Sports
KXNBALOTTERYODDS	NBA Lottery Winner Odds	Sports
KXUEL16BOGTWE	Europa League round of 16 -  BOG TWE	Sports
KXCLUBWCGE	Club World Club Group E	Sports
KXBRASILEIROTOP	Brasileiro Serie A	Sports
KXCOACHOUTMSU	Jonathan Smith Out	Sports
KXMLBEOTY	Pro Baseball Executive of the Year	Sports
KXNBAPTS	Pro Basketball Player Points	Sports
KXNFLGPICKENSCONTRACT	Pro Football George Picken's Next Contract Size	Sports
KXNBARA	Pro Basketball Rebounds + Assists	Sports
KXNFLPRIMETIME	Pro Football Primetime Games	Sports
KXMARATHON	Chicago Marathon winner	Sports
KXMLBWINS-BOS	Pro baseball wins Boston	Sports
KXWOHOCKEY	Winter Olympics Hockey	Sports
KXCRYPTOFIGHTNIGHT	Crypto Fight Night	Sports
KXCOPPAITALIAGAME	Coppa Italia Game	Sports
KXNHLGOAL	Pro Hockey Goalscorer	Sports
KXFOPENMENSINGLE	French Open men's singles	Sports
KXNBALASVEGAS	Las Vegas NBA team	Sports
KXNORWAYCHESS	Norway Chess Tournament	Sports
KXSTARTNYJ	new york jets week 1 qb	Sports
KXMLBWINS-KC	Pro baseball wins Kansas City	Sports
KXRANKLISTFFWR	TOP FANTASY FOOTBALL WR	Sports
KXNEWCOACHLV	Las Vegas Raiders New Coach	Sports
KXNFLWINS-GB	Pro football wins Green Bay	Sports
KXNFLEXACTWINSDET	Pro football exact wins Detroit	Sports
KXWBCSPREAD	World Baseball Classic Spread	Sports
KXPERLIGA1	Peru Liga 1	Sports
KXNFLREDZONEADS	NFL Redzone ads	Sports
KXCOPADELREYTOTAL	Copa del Rey Total	Sports
KXARGPREMDIV	Argentina Primera Division Game	Sports
KXNBA2D	Pro Basketball Double Double	Sports
KXNBAPREPACK2ML	2 ML Basketball Combo	Sports
KXTGLCHAMPION	TGL Champion	Sports
KXATPGRANDSLAMFIELD	ATP Grand Slam Field Winner	Sports
KXNCAABBIGEAST	Big East Men's Basketball Tournament	Sports
KXCHNSL	Chinese Super League	Sports
KXNBA3D	Pro Basketball Triple Double	Sports
KXBRASILEIROTOPX	Brasileiro Top X	Sports
KXMLSCUP	MLS Cup champion	Sports
KXNCAAMBAPRANK	College Basketball AP Poll	Sports
KXNCAAFB10	Big Ten Champion	Sports
KXWNBA7FIGS	7 Figure WNBA salary	Sports
KXMLBHRDERBY	Pro Baseball Homerun Derby	Sports
KXNFLEXACTWINSBUF	Pro football exact wins Buffalo	Sports
KXLIGAMX	Liga MX Winner	Sports
KXARGLNBGAME	Liga Nacional de Basquetbol Game	Sports
KXMLBWINS-LAD	Pro baseball wins Los Angeles D	Sports
KXFIDECHESSCHAMPION	FIDE Chess Championship	Sports
KXEFLCUPADVANCE	EFL Cup Advance	Sports
KXNFLOROY	NFL Offensive Rookie of the Y ear	Sports
KXAFCONADVANCE	AFCON To Advance	Sports
KXWO-SBOARD	Winter Olympics Snowboarding	Sports
KXLEADERNBASTL	NBA SPG Leader	Sports
KXLALIGATOP4	La Liga Top 4 Finishers	Sports
KXNBA3QSPREAD	Pro Basketball 3rd Quarter Spread	Sports
KXMLBNLCY	Pro Baseball National League Cy Young	Sports
KXBOXINGKNOCKOUT	Boxing Knockout	Sports
KXLOLTOTAL	League of Legends Total Maps Played	Sports
KXGOLFH2H	Golf Head-to-Head	Sports
KXVTBGAME	VTB United League Game	Sports
KXPGAR1LEAD	PGA Round 1 Leader	Sports
KXINDYCARRACE	IndyCar Race	Sports
KXNFLWINS-NO	Pro football wins New Orleans	Sports
KXNFLOROTY	AP Pro Football Offensive Rookie of the Year	Sports
KXSIXKINGSSEMI	Six Kings Slam Semifinals	Sports
KXNFLTOTAL	Pro Football Total Points	Sports
KXLOLGAME	League of Legends Game	Sports
KXUCLROUND	Champion's League Round	Sports
KXNFL1QWINNER	Pro Football 1st Quarter Winner	Sports
KXWO-FIGSKATE	Winter Olympics Figure Skating	Sports
KXMLB	World Series	Sports
KXWBCFLYWEIGHTTITLE	Boxing Flyweight Title	Sports
KXWO-XC	Winter Olympics Cross Country Skiing	Sports
KXF1TOP5	F1 Top 5 Finishers	Sports
KXWSOPENTRANTS	How many Entrants in a WSOP Main Event	Sports
KXNFLFIRSTTD	Pro Football First Touchdown	Sports
KXMLBWSMVP	Pro Baseball Championship MVP	Sports
KXWO-BRONZE	Winter Olympics Most Bronze Medals	Sports
KXCOACHOUTNFL	NFL Coach Out	Sports
KXMLBTOTAL	Pro Baseball Total Points	Sports
KXCHESSCANDIDATES	Chess Candidates Champion	Sports
KXGRANDSLAM	Grand Slam Wins by Year	Sports
KXJONJONESRETIREMENT	Jon Jones retirement end	Sports
KXNBADRAFTCONF	Pro Basketball Players Drafted by Conference	Sports
KXNHL4NATIONS	4 nations face off	Sports
KXNCAABIVY	Ivy League Men's Basketball Tournament	Sports
KXATPMAD	ATP Madrid	Sports
KXNCAAMBNEC	Northeast Conference Tournament	Sports
KXGBLGAME	GBL Basketball Game	Sports
KXNHLNORRIS	NHL James Norris Memorial Trophy	Sports
KXPGAMAJORTOP10	PGA Top 10 for All 4 Majors	Sports
KXUFLCHAMP	UFL Champion	Sports
KXASIACUPCRICKET	Asia Cup Winner	Sports
KXLEADERMLBHR	MLB Home Runs Leader	Sports
KXNCAAMBMEAC	Mid-Eastern Conference Tournament	Sports
KXWNBADELAY	WNBA Season Delay	Sports
KXAOWOMEN	Australian Open Womens	Sports
KXKLEAGUE	Korea K League Winner	Sports
KXNHLPACIFIC	NHL Pacific Division Winner	Sports
KXNHLMVP	NHL Hart Memorial Trophy Winner	Sports
KXEXHIBITIONWOMEN	Women's Tennis Exhibition Match	Sports
KXMLBWINS-STL	Pro baseball wins St. Louis	Sports
KXWMENSINGLES	WIMBLEDON men's singles	Sports
KXNCAAMBPAT	Patriot League Conference Tournament	Sports
KXUCL16RMAMCI	Champions League round of 16 - RMA MCI	Sports
KXNIKOAWPMAJOR	NiKo AWP Major	Sports
